Order_ID,Customer_ID,Order_Date,Category,Product,Quantity,Unit_Price
ORD1000,CUST200,2023-01-01,Books,Phone,3,187.9
ORD1001,CUST201,2023-01-16,Furniture,Shirt,4,715.81
ORD1002,CUST202,2023-01-31,Electronics,Novel,4,496.14
ORD1003,CUST203,2023-02-15,Books,Shirt,1,209.83
ORD1004,CUST204,2023-03-02,Books,Novel,3,545.66
ORD1005,CUST205,2023-03-17,Furniture,Phone,1,130.95
ORD1006,CUST206,2023-04-01,Electronics,Laptop,3,918.39
ORD1007,CUST207,2023-04-16,Electronics,Novel,3,332.9
ORD1008,CUST208,2023-05-01,Books,Shirt,1,696.27
ORD1009,CUST209,2023-05-16,Clothing,Phone,1,380.54
ORD1010,CUST210,2023-05-31,Books,Novel,3,568.06
ORD1011,CUST211,2023-06-15,Books,Laptop,2,592.04
ORD1012,CUST212,2023-06-30,Books,Laptop,4,266.37
ORD1013,CUST213,2023-07-15,Books,Chair,1,972.63
ORD1014,CUST214,2023-07-30,Furniture,Chair,4,797.62
ORD1015,CUST215,2023-08-14,Electronics,Shirt,2,945.55
ORD1016,CUST216,2023-08-29,Furniture,Novel,2,905.34
ORD1017,CUST217,2023-09-13,Furniture,Novel,2,638.11
ORD1018,CUST218,2023-09-28,Furniture,Chair,1,929.69
ORD1019,CUST219,2023-10-13,Books,Novel,2,179.64
