v1,v2
ham,"Hey, are we still on for lunch tomorrow?"
spam,Congratulations! You've won a $1000 Walmart gift card. Click here to claim.
ham,Don't forget to bring the documents for the meeting.
spam,You have been selected for a free vacation. Call now to claim.
ham,See you at the gym later today.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Happy Birthday! Have a great day.
ham,Can you send me the report by evening?
spam,Win cash prizes instantly by entering this lucky draw now!
ham,Let's catch up over coffee this weekend.
